企业名称,企业性质,所在城市,薪资待遇,作息时间,学历要求,核心业务,对口专业,深度调研结论,风险提示,官方网址
"西安庆华民用爆破器材股份有限公司","国企/待核对","陕西西安","未知","待核对","本科及以上","中国兵器工业集团三级子公司,工业和信息化部定点民爆大型骨干生产企业,国内民用起爆器材品种最齐全规模最大的生产企业,含能材料、火工品研发与制造","弹药工程与爆炸技术专业本科及以上学生,对民爆器材、含能材料感兴趣的求职者,希望在国有企业从事相关技术与制造工作的毕业生","该企业属于中国兵器工业集团三级子公司，是工业和信息化部定点的民爆行业大型骨干生产企业，专业从事工业雷管、导爆管雷管等民爆器材的研发、生产与销售。业务高度相关于弹药工程与爆炸技术专业，包括含能材料、火工品、爆破工程、安全技术等领域。校招存在记录，本科及以上学历、西安本地工作，福利包括五险二金等，适用于相关专业学生就业参考。风险包括招聘公告较旧、具体薪资与岗位未详、实际控制人可能随股权变化而调整。","招聘公告已于2024-2025年发布，需关注最新信号;工作地点为工厂区域，可能涉及现场操作;公司为许可经营的民爆企业，存在准入资质要求;股权存在过渡期，实际控制人可能调整;未找到官网或官方微信公众号入口","https://www.gaoxiaojob.com/announcement/detail/254121.html"
"西安航天化学动力有限公司","国企","陕西西安","未知","待核对","硕士、博士线索较多，具体以最新公告为准","固体动力,装药总装,推进剂工艺,高校校招","关注固体推进剂、含能材料、装药总装和检测方向的学生。,学历背景偏硕士或博士、能接受军工单位流程的学生。,愿意按最新公告逐项核对岗位和保密要求的学生。","高校就业网和公开论文线索显示，西安航天化学动力有限公司与固体火箭发动机装药、总装、检测和推进剂工艺相关，专业相关性较高。现有招聘多为历史样本，最新校招、薪资、作息和涉密要求仍需复查。","公开招聘样本多为历史公告，不能代表当前岗位。;独立官网入口未确认，需通过集团招聘平台和高校就业网复查。;部分岗位可能有涉密、背景审查、现场作业或倒班要求。;薪资、福利和作息不应根据第三方平台直接下结论。","https://www.career.zju.edu.cn/jyxt/sczp/xjhgl/ckXjhgwXq.zf?dwxxid=null&xjhbh=ac6ab7ed50b93491de3c2497923a7919"
"西安近代化学研究所","待核对","陕西省西安市","未知","待核对","待核对","含能材料研究中心,火炸药及爆炸科学,军民融合技术,国家级实验室依托","对含能材料、火炸药、爆炸科学感兴趣的本科/研究生,希望从事军工或军民融合研发的技术人员,西安本地或愿意在西安就业的毕业生,有扎实化学、材料、力学等专业背景的学生","西安近代化学研究所隶属于中国兵器工业集团，位于陕西西安雁塔区，是我国主要含能材料及爆炸科学研究中心，业务方向与弹药工程和爆炸技术高度匹配，适合从事含能材料、火工品、弹药技术等方向的专业学生。公开招聘信号显示博士/硕士生校招，工作地点固定于西安市雁塔区电子工业园区。总体与弹药工程与爆炸技术专业相关度高，适合理工背景学生，但因军工性质存在潜在保密要求，需结合个人情况评估。","岗位涉密或高安全性要求;可能存在倒班或现场试验工作;部分招聘公告可能已过期或需关注最新;签约单位可能非研究所总部，存在外派或技术合作风险;公开资料中未披露具体薪资及作息细节","http://campus.51job.com/zgbq204"
"西安鹏程爆破工程有限公司","民企","陕西省西安市","未知","待核对","大专/本科","老牌爆破企业,营业性爆破许可,拆除爆破","弹药工程、采矿工程去向偏现场施工的学生,对基层爆破工程实施有兴趣的毕业生","作为1997年成立的老牌民营爆破工程公司，西安鹏程在西安及周边地区有一定的工程业务量。它被列入陕西省高新技术企业备案名单，并参与了多地（如北京通州）的拆除工程项目。适合作为弹药工程或采矿工程学生在西北地区从事现场施工的基层起点。","官网入口待核对;薪资福利及企业发展潜力待核对","https://www.zhipin.com/test1"
"西昌永盛实业有限责任公司","待核对","四川省凉山彝族自治州西昌市","未知","待核对","待核对","硝铵炸药生产,民爆器材,安全监管,安全生产","关注民爆生产与安全技术的学生,了解含能材料工艺的学生,对西部地区国企企业感兴趣的学生","西昌永盛实业有限责任公司是四川省凉山彝族自治州西昌市从事硝铵炸药生产的民爆企业，与弹药工程与爆炸技术专业相关度较高，主要业务为工业炸药生产、安全监管和试验验证。该公司曾系兵器工业总公司定点生产企业，后并入云南民爆集团有限责任公司体系。公开资料显示存在员工招聘需求（如硝铵炸药制造工），但无校招公告或具体岗位列表。企业规模较小，无官方招聘网站和薪资信息。学生可关注凉山州人社局或当地国企招聘平台，注意岗位多为生产一线，需查阅最新安全许可和监管文件。","无官方招聘网站，岗位信息仅见于人社局公告;工作地点为西昌生产基地，现场为主;可能涉及安全许可限制或生产一线操作;无薪资与作息公开信息;股东信息虽为云南民爆，但需核实当前实际控制关系","https://www.qcc.com/firm/a68b539879a2062cdb1aaaed0c27fac7.html"
"西藏高争民爆股份有限公司","国企","西藏自治区拉萨市","未知","待核对","待核对","上市公司,国资控股,工业炸药,爆破服务","关注西藏区域民爆企业的学生,关注爆破工程和安全技术方向的学生,愿意了解区域国资企业的学生","西藏高争民爆股份有限公司公开资料显示其业务涉及民用爆炸物品生产、销售、运输和爆破作业服务，与爆破工程、安全技术和含能材料方向相关。现有资料可用于建立企业入口和方向判断，但最新招聘岗位、薪资、作息和工作地点仍需以官网或公告为准。","未形成稳定校招入口。;岗位地点可能分散在西藏各地。;现场作业和安全资质要求需核对。;薪资和作息无可靠公开口径。","https://www.xzmbgf.com"
"谱瑞科技（大连）有限公司","民企","待核对大连","未知","待核对","本科及以上","痕量毒品检测,爆炸物探测仪,专用分析仪器设备","兵器类,探测制导,安全工程,机械自动化","谱瑞科技（大连）有限公司是一家专注于痕量毒品与爆炸物探测仪研制的创新型民营企业。公司与大连化物所深度合作，在爆炸物检测领域具备核心技术。其业务与探测制导、兵器类专业高度对口。当前网络缺乏公开薪酬数据，建议兵器和安全工程类毕业生将其作为备选靶向企业，后续需重点核实其薪酬待遇及工作节奏。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.rytrum.com/"
"贵州久联民爆器材发展股份有限公司","国企","贵州省贵阳市","未知","待核对","待核对","民爆器材研发生产,爆破工程服务,高新技术企业,保利集团旗下","对民爆工程、含能材料及爆破技术感兴趣的学生,关注国企民爆行业发展的专业生,有爆破工程施工相关兴趣的人员","企业原名为贵州久联民爆器材发展股份有限公司，现已更名为保利联合化工控股集团股份有限公司，仍从事民爆器材研发、生产、销售及爆破工程施工，是保利集团旗下国有企业，位于贵州省贵阳市，隶属民爆行业。业务方向高度匹配弹药工程与爆炸技术专业，包括民用爆炸器材生产、爆破工程服务、含能材料相关研发与试验验证等。公开资料显示其为工信部支持的民爆行业领军企业，具备国家级技术中心，但无2026年或近期公开校招公告、岗位列表或薪资信息。适合对民爆工程、含能材料、爆破技术有兴趣的学生，但需谨慎核对最新招聘动态，因部分信息待进一步核实。","未找到公开的2026年校招公告;部分业务涉及现场施工或异地产能;国企企业可能存在涉密或特定岗位限制;资料更新至2026年，但招聘信息可能随时变化","https://www.poly-union.com/"
"贵州盘江民爆有限公司","国企","贵州省清镇市","未知","待核对","本科及以上","民爆器材生产企业,含能材料研发,电子雷管制造,爆破技术服务","弹药工程与爆炸技术专业本科生,含能材料、火工品工艺制造方向学生,对民爆行业安全技术感兴趣的学生,需稳定国企就业背景的学生","贵州盘江民爆有限公司是保利联合化工控股集团全资子公司，位于贵州省贵阳市清镇市，专注于民用爆炸物品研发、生产与销售。主要产品包括工业炸药、工业电雷管等，具备电子雷管全流程自动化生产能力。属于民爆行业国家定点生产企业，与弹药工程与爆炸技术专业高度相关，可为学生提供生产工艺、含能材料和爆破服务岗位参考。招聘以校招为主，通过贵州区域平台（贵州联合）发布安全技术、安全信息化等岗位，学历要求本科及以上。企业为国企性质，存在生产基地可能涉及现场作业风险，建议关注最新招聘公告。","工作地点可能为生产基地现场;存在涉密或危险品操作岗位;部分招聘岗位可能需倒班;具体薪资范围无公开来源;招聘公告可能过期或岗位变化","https://www.tianyancha.com/company/249553793"
"辽宁北方华丰特种化工有限公司","国企","辽宁省抚顺市","未知","待核对","本科及以上；待核对","火工品科研生产,国家重点保军单位,航天导弹配套,高校合作基地","对军工含能材料、火工品工艺制造感兴趣的学生,具备爆炸技术、弹药工程等专业背景的学生,愿意从事国防领域长期稳定工作的求职者,关注军民融合发展的人才","辽宁北方华丰特种化工有限公司隶属中国兵器工业集团，是国家重点保军火工品生产企业，业务方向与弹药工程及爆炸技术高度匹配，主要从事军用火工品、特种能源及相关含能材料研发制造。企业为高校教学科研合作基地，曾举办专场招聘并参与集团校园招聘。常见需求包括研发工程师、工艺技术员等，学历要求本科及以上。总体适合有兴趣从事国防含能材料、火工品及爆炸技术领域的学生，但需关注保密管理、现场生产环境及军工企业常规工作特点。","无公开官网，招聘信息通过集团平台获取可能不及时;工作涉及保密要求，可能有涉密岗位;生产现场岗位偏实验室与操作结合，需适应特殊安全管理;具体薪资及作息安排未有最新公开数据","https://baike.baidu.com/item/辽宁北方华丰特种化工有限公司/7153241"
"辽宁华丰民用化工发展有限公司","国企","辽宁抚顺","未知","待核对","本科及以上线索，具体以最新公告为准","民爆器材,电子雷管,抚顺,校招线索","关注火工品、电子雷管和民爆器材方向的学生。,愿意到辽宁抚顺生产基地类岗位工作的学生。,需要逐项核对最新招聘公告的求职学生。","公开资料显示，辽宁华丰民用化工发展有限公司与民爆器材、电子雷管等方向有关，和弹药工程、火工品及安全技术方向关联较强。已有官网、学校就业网和政府项目公示线索，但最新校招、薪资、作息和股权状态仍需复查。","历史招聘公告不能代表当前岗位开放情况。;股权结构和签约主体需按最新公告复查。;生产岗位可能涉及现场、安全资质或倒班要求。;薪资和作息没有可靠公开口径。","http://www.hfmyhg.com/"
"辽宁庆阳特种化工有限公司","国企","辽宁省辽阳市","待核对","待核对","本科及以上（部分岗位硕士）","军工集团子公司,国家级含能材料基地,火炸药及特种化工生产企业,国防科技工业企业技术中心","对含能材料、火工品、爆破工程感兴趣的弹药工程与爆炸技术专业学生,希望进入军工相关企业从事工艺制造、安全技术工作的毕业生,接受倒班作业和现场操作岗位的在校生,对军工集团子公司企业文化感兴趣的应届毕业生","辽宁庆阳特种化工有限公司隶属于中国兵器工业集团公司北化研究院集团，位于辽宁省辽阳市，是兵器行业品种最全、集科研、试制、生产为一体的综合性火炸药及特种化工生产企业，国家级含能材料研究和生产基地。主要产品涵盖含能材料、有机中间体及精细化工、民爆器材三大系列，近200个品种。企业为国防科技工业战略保军单位和民爆自备工艺应用依托单位。公开资料显示，2026年有社会招聘技能操作岗位（生产一线倒班作业化工操作），招聘条件为本科及以上，试用期3000元/月，转正后执行岗位绩效薪酬并缴纳六险一金。公司不提供食宿。公司现有员工3000余人，享受国务院政府特贴，拥有国家级技能大师工作站等，属于军工相关企业。在校招生（弹药工程与爆炸技术专业）存在相关性，因企业主营产品为含能材料、火炸药及民爆器材，招聘简章中明确包含此专业。公开招聘入口以中国兵器工业集团北化研究院集团官网及国家大学生就业服务平台为准，校招主要通过集团内部系统或学校就业网发布。企业位于辽阳市文圣区，工作地点固定，无签约单位非总部的情况。公开信息中未发现涉密岗位，但作为军工企业，部分岗位可能涉及保密要求；社会招聘岗位为倒班作业，存在现场操作风险；部分招聘公告可能已过期或后续有调整。适合对含能材料、火工品、爆破工程、安全技术感兴趣的弹药工程与爆炸技术专业学生投递，但需关注具体岗位性质。","社会招聘公告可能已截止或有调整;倒班作业岗位存在现场操作风险;军工企业岗位可能涉及保密或涉密要求;具体薪资范围待核对（仅部分简章提及基础福利）;工作地点固定于辽阳市，无其他不确定点","http://qytzhg.norincogroup.com.cn/"
"辽沈工业集团有限公司","国企","辽宁沈阳","未知","待核对","本科及以上；硕士及以上","武器弹药研制生产,弹药工程与爆炸技术相关岗位,中国兵器工业集团直属,沈阳总部","弹药工程与爆炸技术专业学生,机械工程、材料科学等相关专业,有军工制造或试验验证兴趣的在校生,关注含能材料、火工品领域的求职者","辽沈工业集团有限公司为隶属于中国兵器工业集团的国有独资企业，总部位于辽宁省沈阳市大东区，核心业务为武器弹药研制生产，包括大中小口径炮弹、末敏弹等。企业与弹药工程与爆炸技术专业直接相关，历次校园招聘公告中明确招收该专业本科及以上或硕士及以上人员，岗位涉及设计、工艺、装药装配等领域。公开资料显示公司位于沈阳，主厂区沈阳东北部，民品涉及铝制易拉罐等。招聘主要通过学校就业网、猎聘、智联招聘等平台进行，暂无薪资和作息具体数据。企业性质明确为国企，适合相关专业学生了解军工制造方向，但工作地点主要为沈阳总部及关联厂区，需关注保密要求。","公告多为历史或特定年份，2026最新招聘未知;工作地点主要沈阳及关联厂区，不确定是否跨省;军工企业可能涉密、需保密审查;部分岗位偏生产/现场，存在倒班或特殊作息;无官方官网，招聘信息通过第三方平台发布","空字符串"
"重庆建设工业（集团）有限责任公司","国企","重庆重庆","未知","待核对","本科及以上线索，具体以最新公告为准","军工制造,轻武器装备,国资招聘,重庆区域","关注军工制造和装备工艺方向的学生。,希望在重庆区域就业的求职学生。,能接受涉密和厂区分配复核的学生。","公开招聘公告和学校就业网显示，重庆建设工业与军工制造、轻武器装备和工艺技术岗位有关，和弹药工程方向存在间接关联。但未确认其直接从事民爆或火工品业务，薪资、作息、多基地分配及涉密要求需以后续官方公告复核。","专业相关度偏军工制造，不是民爆核心单位。;历史招聘公告不能代表当前岗位开放。;缺少目标企业独立官网入口。;薪资、作息和涉密要求没有可靠公开口径。","http://www.sasac.gov.cn/n2588035/n2588325/n2588350/c31731319/content.html"
"重庆红宇精密工业集团有限公司","国企","重庆重庆","未知","待核对","本科及以上线索，具体以最新公告为准","特种装备,兵器弹药类岗位线索,重庆基地,校招线索","关注特种装备和兵器弹药类岗位的学生。,希望在重庆区域就业的求职学生。,愿意核对涉密、基地分配和岗位细节的学生。","官网、国资委招聘公告和学校就业网显示，重庆红宇精密工业集团与特种装备、精密制造及兵器弹药类招聘需求有关，和专业关联较强。薪资、作息、多基地分配、最新招聘流程及具体岗位仍需以最新公告复核。","历史校园招聘入口不能代表当前仍在招聘。;工作地点可能涉及重庆多个基地。;部分岗位可能有涉密或生产现场要求。;薪资和作息没有可靠公开口径。","https://hongyu.csgc.com.cn/"
"重庆长安工业（集团）有限责任公司","国企","重庆重庆市渝北区","未知","待核对","本科及以上；待核对","军民结合型,特种产品研发,智能制造,历史悠久兵工企业","关注特种装备研发和试验验证的弹药专业学生,对军工制造工艺和安全技术有兴趣的学生,适合考虑重庆本地就业的学生,对爆炸、含能材料相关方向感兴趣的专业学生","重庆长安工业（集团）有限责任公司是中国兵器装备集团公司旗下国有大型军民结合型企业，业务聚焦特种产品研制、智能制造和工程建设，历史追溯至1862年上海洋炮局，核心产品包括重型防雷反恐突击车等。适合弹药工程与爆炸技术专业学生，因为其安全工程技术、工艺制造及试验验证岗位与爆炸、含能材料、火工品等领域相关度较高。该企业现有招聘信号主要来自猎聘等平台，包含安全工程技术、机械结构设计工程师、硬件工程师等技术类岗位，工作地点主要为重庆渝北区，也有四川等地。总体相关度中等，适合对军工特种装备、试验验证和工艺制造感兴趣的专业学生。风险点包括岗位多为现场技术类，工作地点可能涉及子公司或试验基地，具体校招公告尚未公开，薪资无可靠来源。","工作地点可能涉及子公司或试验基地，非总部;岗位偏现场技术类，涉密风险未知;缺乏具体校招公告和薪资范围;作息安排未公开;部分信息基于第三方招聘平台，可能时效性不强","待核对"
"重庆顺安爆破器材有限公司","待核对","重庆市重庆市","未知","待核对","待核对","西南入口,民爆器材,政府许可资料,招聘入口线索","关注重庆民爆器材企业的学生。,关注生产技术、安全管理和爆破服务的学生。,愿意核对生产点和签约主体的求职学生。","重庆顺安爆破器材有限公司可作为重庆民爆器材和爆破服务入口。政府许可资料、应急监管入口和招聘平台可支撑行业相关性；官网连通性、股权口径、岗位、薪资、作息、生产点和签约主体仍需后续复查。","官网入口连通性不稳定。;招聘入口不能代表当前校招开放。;生产点和工作地点需按岗位确认。;薪资、作息和股权口径没有稳定公开证据。","https://jjxxw.cq.gov.cn/zwgk_213/gsgg/202303/t20230325_11811050.html"
"广东锡源爆破科技股份有限公司","民企（控股股东为广东冠中盈建设投资集团有限公司）","广东省惠州市","未知","待核对","本科及以上；待核对","国家一级爆破作业单位资质,矿山爆破一体化服务,安全评估监理,高校人才培养合作","对爆破工程设计与安全管理感兴趣的从业者,关注工程施工类职业发展的学生,希望在广东从事相关领域实习/工作的毕业生,偏好稳定运营而非高风险现场作业的求职者","锡源爆破有限公司（全称广东锡源爆破科技股份有限公司）位于广东省惠州市，核心业务为爆破工程设计施工、安全评估及安全监理等服务，属于爆破工程类企业。与弹药工程与爆炸技术专业存在关联度（相关业务包括矿山爆破、隧道爆破、水下炸礁、井桩爆破、爆破与拆除、特种爆破等），但主要面向工程施工与安全管理领域，并非纯军工或含能材料生产企业。招聘信息有限，仅显示销售工程师/销售助理等岗位，学历要求本科及以上，地点为广东省内，薪资面议，具体信号包括与高校的人才培养合作（如南华大学等）。整体规模适中，适合对爆破工程感兴趣的从业人员。资料来源于公司官网、公开招聘记录及第三方平台，未发现涉密或高风险信号。","招聘岗位与薪资信息较旧（2023年后无更新公告）;工作地点多为项目所在省份（如中山、惠州等地），需项目驱动;部分业务涉及现场施工，潜在安全风险;公告未明确是否为应届生专场或高校直招;数据来源为公开网页，未核实最新人事动态","http://www.xybaopo.com/"
"长春长光宇航复合材料有限公司","国企","长春新区长春","未知","待核对","本科及以上","固体火箭发动机复合材料壳体,喷管,扩张段,国家级专精特新小巨人","兵器类,探测制导,安全工程,机械自动化","长春长光宇航源于中科院长春光机所，属国有控股企业。公司专注于火箭、导弹等装备的复合材料壳体及喷管等核心部件研发。其业务与弹药工程、兵器科学高度契合，具备军工生产资质。作为国家级专精特新小巨人企业，技术底蕴深厚，非常适合武器类、材料类兵工专业毕业生投身于国防航天重点装备研发体系。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.ccacm.net/"
"陕西北方民爆集团有限公司","待核对","陕西华阴","未知","待核对","本科及以上线索，具体以最新公告为准","民爆器材,爆破服务,陕西区域,校招线索","关注民爆器材和爆破服务方向的学生。,愿意核对陕西区域岗位和签约主体的求职学生。,对生产安全、爆破技术岗位有兴趣的学生。","公开招聘入口和股权资料显示，陕西北方民爆集团与民爆器材、爆破服务和陕西区域生产经营有关，和弹药工程、爆炸技术方向关联较强。但当前缺少企业官网和最新官方校招，薪资、作息、签约主体和工作地点都需复查。","当前缺少企业官网或官方公众号入口。;招聘平台信息只能作历史岗位线索，不能代表最新校招。;集团、控股公司和具体签约单位可能不同。;薪资、作息和工作地点没有可靠公开口径。","https://www.iguopin.com/company?id=10685311219622058"
"陕西庆华汽车安全系统有限公司","待核对","陕西西安","未知","待核对","本科及以上或研究生线索，具体以最新公告为准","点火具线索,产气药剂线索,汽车安全系统,军工背景待核对","关注火工品在汽车安全系统中应用的学生。,对含能材料、点火具和产气药剂有兴趣的学生。,愿意在西安核对具体岗位细则的求职学生。","公开资料显示，陕西庆华汽车安全系统与点火具、产气药剂、微型气体发生器等汽车安全火工品应用有关，和含能材料、火工品方向存在交集。但业务主线偏汽车安全系统，不宜写成弹药核心就业；最新岗位、薪资、作息和控股关系需复核。","相关度偏应用场景，不是弹药工程核心单位。;历史招聘公告不能代表当前仍在招聘。;企业性质和控股关系需按最新公告复核。;薪资、作息和生产现场要求没有可靠公开口径。","https://www.qhvss.com"
"陕西应用物理化学研究所","国企","陕西省西安市","待核对","待核对","本科及以上（研究生为主）；待核对","火工烟火技术专业研究所,国防科技重点实验室依托单位,中国兵器工业集团下属,民用爆破器材质量监督检验中心","弹药工程与爆炸技术专业学生,含能材料、火工品、爆炸技术方向研究生,关注军工科研与试验验证岗位,西安地区就职偏好者","陕西应用物理化学研究所（中国兵器工业第二一三研究所）与弹药工程与爆炸技术专业高度相关，是我国唯一火工烟火技术专业研究所，业务覆盖含能材料、火工品安全性可靠性、民用爆破器材等方向，隶属中国兵器工业集团，位于西安市。适合弹药工程与爆炸技术专业学生作为投递目标，研究方向与专业高度匹配。招聘信号显示2026届校园招聘已启动，岗位包括装置结构设计研发、含能药剂研发等。风险点包括工作地点位于西安，军工单位可能存在涉密/现场作业，薪资、作息及具体招聘渠道待核对，部分公告可能过期或需联系官方确认。","工作地点为西安单一区域，签约单位非独立企业总部;军工单位可能涉及涉密岗位或现场试验;招聘岗位多为研发，部分需加班或倒班;2026年校招公告可能已过或需重新确认最新信息;未找到独立官网，信息主要来自招聘平台",""
"陕西红旗民爆集团股份有限公司","国企","陕西省宝鸡市","未知","待核对","待核对","工业炸药,爆破服务,官网入口,校招线索","关注陕西区域民爆企业的学生,关注爆破工程技术方向的学生,关注安全管理和工艺岗位的学生","陕西红旗民爆集团股份有限公司公开资料显示业务涉及工业炸药、爆破服务等民爆方向，与弹药工程、爆破工程和安全技术方向相关。已有高校宣讲和政府公示线索，但最新校招、薪资、作息、股权和签约主体仍需按官方公告复查。","宣讲会信息为历史样本，不能代表当前岗位。;股权归属和签约主体需复查。;薪资、作息和学历要求未形成稳定证据。;部分岗位可能涉及现场或厂区环境。","https://hqmb.com.cn"
"青海青乐化工机械有限责任公司","待核对","青海省海东市","未知","待核对","本科及以上或专科岗位样本，待核对","青海区域,民爆器材,化工机械,招聘样本","关注青海区域就业的学生,关注民爆器材生产线索的学生,关注化工机械和现场技术岗位的学生","青海青乐化工机械有限责任公司可作为青海区域民爆器材和化工机械方向入口。现有证据以政府公告、集团招聘公告和地方招聘线索为主，相关性存在但不宜扩写为稳定校招单位；官网、股权、岗位、薪资和作息需后续复查。","未找到企业官网，信息更新依赖政府和招聘平台。;最新岗位是否开放需要复查。;企业性质和股权口径需核对。;薪资和作息没有稳定公开证据。","https://gxt.qinghai.gov.cn/1887702550763384833.html"
"鞍钢矿业爆破有限公司","待核对","辽宁省鞍山市","未知","待核对","待核对","矿山爆破,民爆一体化,校园招聘入口,现场工程","关注矿山爆破工程的学生,关注现场技术和安全管理的学生,能接受项目制或现场工作的学生","鞍钢矿业爆破有限公司官网显示其从事矿山爆破、爆破施工和民爆一体化服务，适合补充矿山场景下的爆破工程入口。该企业与弹药工程相关性偏工程应用，当前岗位、薪资、作息和项目地点需要按官网招聘栏目或最新公告复查。","岗位可能偏现场工程和项目地工作。;薪资和作息未见稳定公开口径。;股权与企业性质需按最新公开资料复查。;招聘栏目存在但具体开放岗位需重新确认。","https://www.akbaopo.com/"
"飞策防爆电器股份有限公司","民企","浙江省嘉兴市","未知","待核对","待核对","防爆灯具,防爆电器,矿用防爆","关注防爆电器、工业爆炸防护装备及配套的学生。,希望寻找长三角或华东区域防爆制造板块的学生。","飞策防爆电器股份有限公司是国内专业的防爆灯具 / 矿用防爆电气领域主体，产品包括防爆灯具、防爆电器、矿用防爆等。其产品及方向适用于弹药与爆炸技术防爆管理及配套，但具体岗位及作息待遇数据尚未被官方招聘直接佐证，需以当年最新材料核实。","当前无公开可考证的薪资与作息数据。;具体生产及研发岗位的学历门槛可能发生变化。;独立校招公告需按学校就业网最新批次更新。","https://www.feice.com/"
"黑龙江盛安民用爆破器材有限责任公司","待核对","黑龙江省双鸭山市","未知","待核对","待核对","东北入口,民爆器材,政府报道线索,政务报道线索","关注东北地区民爆企业的学生。,关注生产、安全和设备维护岗位线索的学生。,愿意后续核对招聘公告的求职学生。","黑龙江盛安民用爆破器材有限责任公司可作为东北地区民爆器材企业入口。现有资料以地方政府报道、新闻资料和政务报道为主，能支撑主体和行业相关性，但不能判断稳定校招、薪资、作息和具体岗位。","未找到稳定企业官网。;未见稳定公开招聘入口，不能判断当前校招开放。;薪资、作息和学历要求没有可靠公开口径。;工作地点可能涉及厂区或分支机构。","http://www.shuangyashan.gov.cn/sys/d83a395e787241e0a02a9528a12ed5ea/202503/c07_225914.shtml"
